Step,Episode,TotalVehicles,VehiclesWaiting,SimulationTime
1027,35,164,4,1184.573
1028,35,164,4,1185.611
1029,35,164,4,1186.633
1030,35,164,4,1187.635
1031,35,165,5,1189.859
1032,35,165,5,1190.865
1033,35,165,5,1192.024
1034,35,165,5,1193.061
1035,35,165,5,1194.126
1036,35,166,6,1195.167
1037,35,166,6,1196.261
1038,35,166,6,1197.338
1039,35,166,6,1198.41
1040,35,166,6,1199.523
1041,35,166,6,1200.845
1042,35,166,6,1202.178
1043,35,167,7,1203.433
1044,35,167,7,1204.652
1045,35,167,7,1205.799
1046,35,167,7,1206.938
1047,35,167,7,1208.489
1048,35,167,7,1209.559
1049,35,167,7,1210.617
1050,35,168,8,1211.637
1051,36,168,8,1212.733
1052,36,168,8,1213.805
1053,36,168,8,1214.847
1054,36,168,8,1215.964
1055,36,168,8,1217.037
1056,36,168,8,1218.077
1057,36,169,9,1219.103
1058,36,169,9,1220.122
1059,36,169,9,1221.185
1060,36,169,9,1222.902
1061,36,169,9,1224.753
1062,36,169,9,1226.052
1063,36,170,10,1227.385
1064,36,170,10,1228.719
1065,36,170,8,1230.052
